brands,sourceUrl,type,produces,id,source,evConversionPlans,investmentAmount,countryId,manufacturer,location.lat,location.lng,city,name
"mini, midi bus by VDL Bus & Coach",https://www.vdlweweler.nl/en/news/vdl-nedcar-transition-to-a-broadly-oriented-partner-in-sustainable-mobility,ev,LCVs,vdl-venlo,VDL Groep,"VDL Special Vehicles in Born focuses on vehicle electrification, zero-emission heavy vehicles, and battery assembly. In Greenport Venlo, VDL Parree operates a 24,500-square-meter factory opened in 2026 for plastic automotive components, including EV battery cladding.",€25m for initial electric vehicle program,NLD,VDL GROUP,51.370375,6.172403,Venlo,VDL GROUP Venlo
"Audi, Porsche, Skoda, Volkswagen",https://newsnow.tasr.sk/volkswagen-slovakia-boosted-turnover-by-6-percent-to-e12-5-billion-in-2024/,ev,Cars,volkswagen-bratislava,TASR (NewsNow Slovakia) / Automotive Manufacturing Solutions,"The Bratislava site is an EV hub with a target annual production of 250,000 MEB-platform vehicles. The facility launched the fully electric Porsche Cayenne in 2026 and receives battery packs from a dedicated facility in Horná Streda.",€1b for e-mobility and EV conversion,SVK,VOLKSWAGEN GROUP,48.145892,17.107137,Bratislava,VOLKSWAGEN GROUP Bratislava
Volkswagen,https://www.electrive.com/2022/09/23/volkswagen-to-upgrade-chemnitz-factory/,ev,Engines/Electric motors,volkswagen-chemnitz,electrive.com,"Volkswagen is transitioning its Chemnitz plant to produce thermal management systems for electric vehicles. Production of these e-mobility components was scheduled to begin by the middle of the decade, while internal combustion engine production continues concurrently.",€25m for initial electric vehicle program,DEU,VOLKSWAGEN GROUP,50.827845,12.92137,Chemnitz,VOLKSWAGEN GROUP Chemnitz
Volkswagen,https://www.volkswagen-newsroom.com/en/volkswagen-ag-emden-plant-6110,ev,Cars,volkswagen-emden,Volkswagen Newsroom,"The Emden plant is an exclusive electric vehicle facility producing the ID.4, ID.7, and ID.7 Tourer. As of late 2024, the site transitioned to a pure EV assembly site by ceasing all combustion-engine vehicle production.",Over €1 billion in plant investment,DEU,VOLKSWAGEN GROUP,53.359403,7.206009,Emden,VOLKSWAGEN GROUP Emden
Audi,https://dailynewshungary.com/audi-to-build-new-electric-engine-plant-in-hungary/,ev,"Cars, Engines/Electric motors",volkswagen-gyr,Daily News Hungary,"Audi Hungaria's Győr facility has expanded to manufacture MEB ECO electric motors for Volkswagen Group's compact EVs, with series production commenced in the first half of 2026. The plant also produces rotors, plate packs, and power electronics alongside its existing production of Premium Platform Electric (PPE) motors.",€301 million investment in plant facilities,HUN,VOLKSWAGEN GROUP,47.687457,17.650397,Győr,VOLKSWAGEN GROUP Győr
Volkswagen,https://www.automotivemanufacturingsolutions.com/assembly/vw-hannover-to-become-multi-brand-production-plant/41349.article,ev,"Cars, LCVs",volkswagen-hannover,Automotive Manufacturing Solutions,"The Volkswagen Hannover plant produces the ID. Buzz and ID. Buzz Cargo. The facility assembles MEB battery systems, manufactures fast-charging stations, and produces three premium electric D-SUVs. As of 2026, production includes the ID. California camper and autonomous Level 4 ID. Buzz vehicles.",€680m in new EV production lines,DEU,VOLKSWAGEN GROUP,52.375892,9.73201,Hannover,VOLKSWAGEN GROUP Hannover
Audi,https://www.electrive.com/2024/04/15/audi-could-set-up-module-production-at-bollinger-hofe/,ev,Cars,volkswagen-heilbronn,electrive.com,"The Böllinger Höfe site in Heilbronn assembles the all-electric Audi e-tron GT. Since 2024, the facility has included battery module production for the Volkswagen Group’s Scalable Systems Platform, with a capacity of 1,000 modules per day.",No data available.,DEU,VOLKSWAGEN GROUP,49.178787,9.167804,Heilbronn,VOLKSWAGEN GROUP Heilbronn
Audi,https://www.electrive.com/2025/03/24/audi-plans-to-build-a3-like-ev-in-ingolstadt-from-2026/,ev,"Cars, Batteries",volkswagen-ingolstadt,Electrive,"The Ingolstadt site produces the Q6 e-tron and high-voltage batteries, having achieved net carbon-neutral production in 2024. As part of the 360factory strategy, the facility is beginning production of a new entry-level compact electric vehicle in 2026.",€500m for battery assembly and training,DEU,VOLKSWAGEN GROUP,48.766535,11.425754,Ingolstadt,VOLKSWAGEN GROUP Ingolstadt
"Skoda, Seat",https://www.czechtradeoffices.com,ev,Cars,volkswagen-kvasiny,CzechTrade Offices (Reporting on Škoda Auto),The Kvasiny factory is undergoing conversion from internal combustion engine assembly to electric vehicle production. This transition supports the scheduled launch of new fully electric models by 2028.,€1.2bn for electric vehicle plant expansion,CZE,VOLKSWAGEN GROUP,50.212494,16.263234,Kvasiny,VOLKSWAGEN GROUP Kvasiny
Volkswagen,https://euroweeklynews.com/2023/02/15/volkswagen-announces-plans-for-a-billion-plus-investment-in-its-landaben-navarra-plant/,ev,Cars,volkswagen-landaben,Euro Weekly News,"Volkswagen is converting the Pamplona assembly site into a multi-brand electric vehicle factory. Beginning in 2026, the facility produces small MEB platform EVs, including the Volkswagen ID.2 and the Skoda Epiq.",€1.024 billion investment in plant facilities,ESP,VOLKSWAGEN GROUP,42.807818,-1.686141,Landaben (Pamplona),VOLKSWAGEN GROUP Landaben (Pamplona)
Porsche,https://theevreport.com/porsches-electromobility-milestone-in-leipzig,ev,Cars,volkswagen-leipzig,The EV Report,"The Leipzig plant began series production of the all-electric Macan in May 2024. The facility utilizes a flexible production line capable of manufacturing electric, hybrid, and combustion engine vehicles.",€600 million in total plant investment,DEU,VOLKSWAGEN GROUP,51.339696,12.373075,Leipzig,VOLKSWAGEN GROUP Leipzig
"Audi, Cupra, Seat",https://www.electrive.com/2023/02/23/seat-prepares-martorell-plant-for-ev-production/,ev,Cars,volkswagen-martorell,electrive.com,"Volkswagen Martorell is transitioning to produce the Electric Urban Car family, including the CUPRA Raval and Volkswagen ID. 2all, with mass production starting in 2026. The site features a new battery assembly facility with an annual capacity of 300,000 units.",€3 billion for Martorell plant conversion,ESP,VOLKSWAGEN GROUP,41.479504,1.923048,Martorell,VOLKSWAGEN GROUP Martorell
Škoda; Petrol engines; Battery packs,https://electriccarsreport.com/,ev,"Cars, Engines/Electric motors, Batteries",volkswagen-mlad-boleslav,Electric Cars Report,"The Mladá Boleslav plant features a 55,000 square meter battery assembly hall with an annual capacity of 335,000 units. The facility supports the production of 200,000 electric vehicles annually, including the Epiq and Peaq models launched in 2026.",€205 million total plant investment,CZE,VOLKSWAGEN GROUP,50.413425,14.908438,Mladá Boleslav,VOLKSWAGEN GROUP Mladá Boleslav
MAN heavy trucks,https://press.mantruckandbus.com/corporate/historic-man-starts-series-production-of-electric-trucks/,ev,HDVs,volkswagen-munich,MAN Truck & Bus,"MAN Truck & Bus began series production of battery-electric trucks at its Munich plant in June 2025. The facility features an integrated production line for both electric and diesel heavy-duty trucks, with a maximum capacity of 100 units per day.",€400m for European plant electrification,DEU,VOLKSWAGEN GROUP,48.135125,11.581981,Munich,VOLKSWAGEN GROUP Munich
Audi,https://www.carexpert.com.au/car-news/audi-axing-thousands-of-jobs-in-cost-cutting-move,ev,Cars,volkswagen-neckarsulm,CarExpert,"The Neckarsulm plant is transitioning to full EV production under the 360factory strategy. Currently producing the e-tron GT, the facility is undergoing upgrades for next-generation electric vehicles and operates a battery module production site at Böllinger Höfe.",€250m for future EV production platforms,DEU,VOLKSWAGEN GROUP,49.192258,9.228709,Neckarsulm,VOLKSWAGEN GROUP Neckarsulm
MAN,https://polandobserver.com/manufacturing-industry/man-truck-bus-to-invest-pln-5-2-bn-near-krakow/,ev,HDVs,volkswagen-niepoomice,Poland Observer,"MAN Truck & Bus SE is developing an automated battery factory in Niepolomice with a planned annual capacity of over 200,000 units by 2030. The project includes an expansion of the existing assembly plant to support electric truck generations and mobility components.",zł5.2bn for EV and truck production,POL,VOLKSWAGEN GROUP,50.03000925,20.17549969,Niepołomice,VOLKSWAGEN GROUP Niepołomice
Volkswagen by VW AUTOEUROPA,https://www.electrive.com/2025/08/21/id-1-production-vw-seals-deal-with-portugal/,ev,Cars,volkswagen-palmela,electrive.com,The Volkswagen Palmela plant is scheduled to begin production of the ID.1 entry-level EV in mid-2027. The facility is transitioning to a Zero Impact Factory utilizing robotic battery assembly and geothermal energy.,€330m in new EV production infrastructure,PRT,VOLKSWAGEN GROUP,38.569441,-8.901694,Palmela (Setubal),VOLKSWAGEN GROUP Palmela (Setubal)
"Ford, Volkswagen",https://wbj.pl,ev,LCVs,volkswagen-pozna,Warsaw Business Journal,"Volkswagen is expanding its Września plant to produce the next-generation all-electric Crafter (eCrafter). The project includes a new 35,000 square meter body shop and a 24,000 square meter battery-storage facility, with completion scheduled for mid-2027.",zł1.5 billion in new plant production,POL,VOLKSWAGEN GROUP,52.41205207,17.03081969,Poznań,VOLKSWAGEN GROUP Poznań
Lamborghini,https://www.lamborghini.com/en-en/news/the-largest-investment-in-the-automobili-lamborghinis-history,ev,"Cars, Engines/Electric motors",volkswagen-santagata-bolognese,Automobili Lamborghini,The Sant'Agata Bolognese site is undergoing expansion under the 'Direzione Cor Tauri' program to support electric vehicle production. The facility features new research infrastructure and specialized production departments for hybrids and EVs. Lamborghini began hybridizing its entire lineup in 2024 and plans to launch its first fully electric model by 2028-2029.,Over €2 billion in manufacturing investment,ITA,VOLKSWAGEN GROUP,44.664776,11.134232,Sant'Agata Bolognese,VOLKSWAGEN GROUP Sant'Agata Bolognese
Scania; Battery modules and packs,https://www.emobility-engineering.com/scania-battery-assembly-plant-opens/,ev,"HDVs, Engines/Electric motors, Batteries",volkswagen-sdertlje,E-Mobility Engineering,"The Södertälje facility produces heavy-duty electric trucks and battery modules using Northvolt cells. The site includes an 18,000-square-meter battery assembly plant and integrated chassis production for electric and combustion vehicles. Ongoing infrastructure developments for electric and autonomous vehicles support Scania's target of 50% electric vehicle sales by 2030.",1.5 billion kr for battery assembly,SWE,VOLKSWAGEN GROUP,59.195363,17.625689,Södertälje,VOLKSWAGEN GROUP Södertälje
MAN,https://www.electrive.com/2022/10/13/man-presents-electric-bus-chassis-for-global-markets/,ev,Buses,volkswagen-starachowice,electrive.com,"The Starachowice facility produces the MAN Lion's City E fully electric city bus. Since 2024, the plant has expanded production to include the Lion's Chassis E, a fully electric bus chassis for global markets.",€25m for initial electric vehicle program,POL,VOLKSWAGEN GROUP,51.05566968,21.06010995,Starachowice,VOLKSWAGEN GROUP Starachowice
Porsche,https://www.electrive.com/2023/11/16/porsche-invests-in-electric-production-in-zuffenhausen/,ev,"Cars, Engines/Electric motors",volkswagen-stuttgart-zuffenhausen,electrive.com,"The Stuttgart-Zuffenhausen plant serves as a smart factory for the mixed production of combustion and electric sports cars, including the all-electric 718 models. The site also produces electric motors for the Macan EV and features a flexible AGV-based assembly line and an automated high-bay logistics warehouse established in 2025.",€250m investment in the plant,DEU,VOLKSWAGEN GROUP,48.833251,9.168805,Stuttgart-Zuffenhausen,VOLKSWAGEN GROUP Stuttgart-Zuffenhausen
"Volkswagen, Seat",https://www.electrive.com/2022/12/07/volkswagen-invests-e460-million-in-wolfsburg-plant/,ev,Cars,volkswagen-wolfsburg,electrive.com,"The Wolfsburg plant serves as an e-mobility hub, with full production of the all-electric ID.3 that commenced in 2024. Future production plans include a new electric compact SUV based on the MEB+ platform. As of 2025, the site completed retraining 22,000 employees for electric vehicle production.",€460 million investment in the plant,DEU,VOLKSWAGEN GROUP,52.42265,10.786546,Wolfsburg,VOLKSWAGEN GROUP Wolfsburg
"MAN, Volkswagen",https://fleet.ie/volkswagen-group-invests-in-expansion-of-wrzesnia-van-plant/,ev,LCVs,volkswagen-wrzenia,Fleet Transport / Warsaw Business Journal,"Volkswagen Commercial Vehicles is expanding its Września plant to produce the next-generation all-electric Crafter (eCrafter). The expansion includes a 35,000 sq m body shop and a 24,000 sq m battery storage and logistics facility, with construction scheduled for completion by mid-2027.",zł1.5 billion investment in the plant,POL,VOLKSWAGEN GROUP,52.29858969,17.51732214,Września,VOLKSWAGEN GROUP Września
"Audi, Cupra, Volkswagen",https://resource-recycling.com/plastics/2026/01/28/vw-investing-millions-in-auto-recycling-in-germany/,ev,Cars,volkswagen-zwickau,Resource Recycling,"The Zwickau facility is a 100% electric vehicle production site that transitioned from internal combustion engines in 2022. It serves as a central competence center for the circular economy, specializing in vehicle dismantling and EV component reuse.",€1.29 billion for EV and recycling,DEU,VOLKSWAGEN GROUP,50.710217,12.473372,Zwickau,VOLKSWAGEN GROUP Zwickau
Scania,https://www.electrive.com/2024/07/08/traton-could-build-a-third-assembly-plant-for-truck-batteries/,ev,HDVs,volkswagen-zwolle,electrive.com,"Traton is considering the Scania assembly site in Zwolle for a potential battery assembly plant for heavy-duty electric trucks. The facility would produce up to 100,000 battery modules annually, with production potentially starting by the early 2030s.","Approximately €200,000,000 in plant investment",NLD,VOLKSWAGEN GROUP,52.516775,6.083022,Zwolle,VOLKSWAGEN GROUP Zwolle
"Renault Trucks, Volvo Trucks",https://www.whichev.net/2022/03/14/hands-on-with-the-renault-e-tech-range-of-electric-goods-vehicles/,ev,HDVs,volvo-blainville-sur-orne,WhichEV.Net,"The Blainville-sur-Orne facility mass-produces medium-duty electric trucks for Volvo and Renault Trucks. In 2026, the plant expanded operations to include production of the Renault Trucks E-Tech D, an ultra-compact electric truck for urban deliveries.",€200 million for plant operations,FRA,VOLVO GROUP,49.21185984,-0.298160548,Blainville-sur-Orne,VOLVO GROUP Blainville-sur-Orne
Renault Trucks,https://www.electrive.com/2024/07/10/renault-trucks-is-getting-ready-for-electric-long-distance-freight-transport/,ev,HDVs,volvo-bourg-en-bresse,electrive.com,"The Bourg-en-Bresse plant produces heavy-duty Renault Trucks E-Tech T and C electric models. The facility features a 5,200-square-meter battery and drive unit assembly area, with production of a new 600-kilometer range long-haul electric truck scheduled for 2026.",€70m in plant investment,FRA,VOLVO GROUP,46.205167,5.225501,Bourg-en-Bresse,VOLVO GROUP Bourg-en-Bresse
Volvo; Battery packs,https://www.brusselstimes.com,ev,"Cars, Batteries",volvo-car-corporation-geely-gent,The Brussels Times,"The Ghent facility produces the fully electric EX30 and EX30 Cross Country. Following a 40,000-square-meter welding department expansion and the addition of 580 robots, the plant established a new battery pack assembly line with a target to produce 30,000 vehicles annually starting in 2025.",€200 million for facility investment,BEL,VOLVO CAR CORPORATION (GEELY),51.054342,3.717424,Gent,VOLVO CAR CORPORATION (GEELY) Gent
Volvo Cars,https://www.drive.com.au/news/volvo-invests-over-100-million-to-make-electric-motors-in-house/,ev,Engines/Electric motors,volvo-car-corporation-geely-skvde,Drive,"Volvo Cars has converted its Skövde powertrain plant to produce electric motors. The facility transitioned from internal combustion engines to full in-house e-motor manufacturing, with complete production established in 2025.",kr700 million in plant investment,SWE,VOLVO CAR CORPORATION (GEELY),58.37708408,13.87138684,Skövde,VOLVO CAR CORPORATION (GEELY) Skövde
Volvo cars,https://www.electrive.com/2022/02/08/volvo-prepares-to-invest-around-e1-billion-in-torslanda-plant/,ev,Cars,volvo-car-corporation-geely-torslanda,electrive.com,"The Torslanda plant produces next-generation fully electric vehicles as part of Volvo’s goal to be pure-electric by 2030. The facility includes a battery assembly plant and mega-casting technology, with upgraded assembly shops established following the end of diesel car production in early 2024.",€960m investment in plant facilities,SWE,VOLVO CAR CORPORATION (GEELY),57.723152,11.767669,Torslanda (Göteborg),VOLVO CAR CORPORATION (GEELY) Torslanda (Göteborg)
Volvo Trucks; Lithium-ion battery packs,https://cleantechnica.com/2022/10/27/volvo-group-to-produce-battery-modules-in-ghent-by-2025/,ev,"HDVs, Batteries",volvo-oostakker,CleanTechnica,"The Ghent plant began producing heavy-duty electric trucks in late 2023. A new 12,000-square-meter automated battery module assembly facility was scheduled to begin production at the site in 2025.",€75m investment in plant facilities,BEL,VOLVO GROUP,51.0852081,3.7858214,Oostakker (Gent),VOLVO GROUP Oostakker (Gent)
Volvo Group,https://www.his.se/en/news/,ev,Engines/Electric motors,volvo-skvde,University of Skövde / MarkLines,"The Skövde plant operates a battery pack assembly line, which was inaugurated in May 2024. In spring 2025, the facility expanded to include a battery assembly methods lab at the ASSAR Industrial Innovation Arena to develop future manufacturing processes and prototypes.",€25m for initial electric vehicle program,SWE,VOLVO GROUP,58.37917212,13.85969885,Skövde,VOLVO GROUP Skövde
Volvo Trucks,https://www.volvogroup.com/en/about-us/organization/our-production-facilities/tuve.html,ev,HDVs,volvo-tuve,Volvo Group,"The Tuve facility produces heavy-duty battery-electric trucks, including the Volvo FH Aero range, on a flexible mixed-model assembly line. As the first Volvo site to start series production of electric trucks in 2022, it remains a key EV manufacturing hub through 2026.",€25m for initial electric vehicle program,SWE,VOLVO GROUP,57.70887,11.97456,Tuve (Göteborg),VOLVO GROUP Tuve (Göteborg)
Volvo Group,https://www.renault-trucks.com/en/newsroom,ev,Engines/Electric motors,volvo-vnissieux,Renault Trucks Corporate Newsroom,The Vénissieux plant produces Power Distribution Boxes for electric and hydrogen heavy vehicles via the EMOB_VNX project. The facility also assembles Freegônes electric cargo bikes in partnership with Kleuster.,€25m for initial electric vehicle program,FRA,VOLVO GROUP,45.699594,4.884465,Vénissieux,VOLVO GROUP Vénissieux
,,chargepoint,EV Charging Equipment,chargepoint-siemens-leipzig,,Part of €1bn investment; Heliox integration; Focus on heavy-duty charging solutions.,,DEU,SIEMENS AG,50.98,12.43,Leipzig,SIEMENS AG Leipzig
,,chargepoint,EV Charging Equipment,chargepoint-abb-valdarno,,"$30m investment; Doubled production capacity; 16,000 m² manufacturing site.",,ITA,ABB E-MOBILITY,43.56,11.53,Valdarno,ABB E-MOBILITY Valdarno
,,chargepoint,EV Charging Equipment,chargepoint-alpitronic-bolzano,,Global expansion including USA; Proprietary SiC technology; Regional economic anchor in South Tyrol.,,ITA,ALPITRONIC,46.5,11.35,Bolzano,ALPITRONIC Bolzano
,,chargepoint,EV Charging Equipment,chargepoint-wallbox-barcelona,,"€9m investment; 750,000 unit annual capacity; Acquired ABL to expand European footprint.",,ESP,WALLBOX,41.39,2.17,Barcelona,WALLBOX Barcelona
,,chargepoint,EV Charging Equipment,chargepoint-kempower-lahti,,"New 10,000 m² factory; Over 200 new jobs created; Strong municipal partnership in Lahti.",,FIN,KEMPOWER,60.98,25.66,Lahti,KEMPOWER Lahti
,,chargepoint,EV Charging Equipment,chargepoint-schneider-le-vaudreuil,,WEF Lighthouse factory designation; High-efficiency production; Key training hub for smart energy systems.,,FRA,SCHNEIDER ELECTRIC,49.26,1.21,Le Vaudreuil,SCHNEIDER ELECTRIC Le Vaudreuil
,,chargepoint,EV Charging Equipment,chargepoint-alfen-almere,,"New 24,000 m² headquarters; €500m+ annual revenue; Smart grid integration focus.",,NLD,ALFEN,52.35,5.26,Almere,ALFEN Almere
,,chargepoint,EV Charging Equipment,chargepoint-ekoenergetyka-zielona-gora,,20% share of Polish bus charging market; Doubled turnover; Backed by Enterprise Investors.,,POL,EKOENERGETYKA,51.94,15.5,Zielona Góra,EKOENERGETYKA Zielona Góra
,,chargepoint,EV Charging Equipment,chargepoint-zaptec-stavanger,,€110m annual revenue; Part of strong regional charging cluster with Easee in Stavanger.,,NOR,ZAPTEC,58.97,5.73,Stavanger,ZAPTEC Stavanger
,,chargepoint,EV Charging Equipment,chargepoint-easee-stavanger,,Regulatory recovery following earlier challenges; Key employer in the Norwegian tech sector.,,NOR,EASEE,58.97,5.73,Stavanger,EASEE Stavanger
,,chargepoint,EV Charging Equipment,chargepoint-ctek-vikmanshyttan,,Grid management and energy storage focus; Approximately 200 employees; Refocused after GM partnership ended.,,SWE,CTEK,60.3,15.82,Vikmanshyttan,CTEK Vikmanshyttan
,,chargepoint,EV Charging Equipment,chargepoint-garo-gnosjo,,Manufacturing in Sweden and Poland; Revenue declined in late 2024 amid market headwinds.,,SWE,GARO,57.36,13.74,Gnosjö,GARO Gnosjö
,,chargepoint,EV Charging Equipment,chargepoint-keba-linz,,"€514m annual revenue; 2,100 employees; Acquired EnerCharge to strengthen charging portfolio.",,AUT,KEBA,48.31,14.29,Linz,KEBA Linz
,,chargepoint,EV Charging Equipment,chargepoint-efacec-matosinhos,,"Acquired by Mutares; 2,000 employees; Undergoing restructuring to support growth in EV charging.",,PRT,EFACEC,41.18,-8.69,Matosinhos,EFACEC Matosinhos
,,chargepoint,EV Charging Equipment,chargepoint-delta-dubnica,,Central European hub for Delta Electronics; Deep supply chain integration with parent Taiwanese conglomerate.,,SVK,DELTA ELECTRONICS,48.96,18.17,Dubnica nad Váhom,DELTA ELECTRONICS Dubnica nad Váhom
,,chargepoint,EV Charging Equipment,chargepoint-enovates-lokeren,,Vehicle-to-Grid specialist; Volatile revenue (€34m to €12m); Strong R&D focus on V2G technology.,,BEL,ENOVATES,51.1,3.99,Lokeren,ENOVATES Lokeren
,,chargepoint,EV Charging Equipment,chargepoint-elinta-kaunas,,€7m investment; Design-led export strategy; Part of the growing Kaunas technology cluster.,,LTU,ELINTA CHARGE,54.9,23.9,Kaunas,ELINTA CHARGE Kaunas
,,chargepoint,EV Charging Equipment,chargepoint-mc-chargers-thessaloniki,,Acquired by Cosmos Aluminum; Relocating to Sindos industrial zone; Focus on Megawatt Charging System (MCS).,,GRC,MC CHARGERS,40.64,22.94,Thessaloniki,MC CHARGERS Thessaloniki
,,chargepoint,EV Charging Equipment,chargepoint-dbt-brebieres,,Euronext-listed; Key player in ultrafast public charging hubs across France.,,FRA,DBT,50.34,3.02,Brebières,DBT Brebières
,,chargepoint,EV Charging Equipment,chargepoint-ads-tec-dresden,,20 MW battery storage contracts awarded in 2025; Specialist in grid-buffering ultrafast charging.,,DEU,ADS-TEC ENERGY,51.05,13.74,Dresden,ADS-TEC ENERGY Dresden
,,chargepoint,EV Charging Equipment,chargepoint-webasto-schierling,,Divested majority of charging business to Transom Capital; Retained minority stake and production facility.,,DEU,WEBASTO,48.83,12.14,Schierling,WEBASTO Schierling
,,chargepoint,EV Charging Equipment,chargepoint-compleo-dortmund,,Acquired by Kostal Group; Wickede and Wambel sites closed; Dortmund facility retained as production base.,,DEU,COMPLEO,51.51,7.47,Dortmund,COMPLEO Dortmund
,,chargepoint,EV Charging Equipment,chargepoint-abl-lauf,,Acquired by Wallbox; Continues to focus on DACH market compliance; Family-owned exit following acquisition.,,DEU,ABL,49.51,11.28,Lauf an der Pegnitz,ABL Lauf an der Pegnitz
,,chargepoint,EV Charging Equipment,chargepoint-heliox-best,,Acquired by Siemens; 330 employees; Leading position in heavy-duty and bus depot charging.,,NLD,HELIOX,51.51,5.39,Best,HELIOX Best
,,chargepoint,EV Charging Equipment,chargepoint-go-e-feldkirchen,,80 employees; Management pivot towards export markets; SME success story in Austrian tech sector.,,AUT,GO-E,46.72,14.1,Feldkirchen,GO-E Feldkirchen
,,chargepoint,EV Charging Equipment,chargepoint-smart-electric-jaunmarupe,,"Supported by Latvian Investment and Development Agency (LIAA); 2,000+ installations; Exporting to US and EU markets.",,LVA,SMART ELECTRIC TECH,56.88,24.05,Jaunmarupe,SMART ELECTRIC TECH Jaunmarupe
,,chargepoint,EV Charging Equipment,chargepoint-zpue-wloszczowa,,Large utility infrastructure supplier; Integrated energy storage and charging solutions; Major regional employer.,,POL,ZPUE,50.85,19.97,Wloszczowa,ZPUE Wloszczowa
,,chargepoint,EV Charging Equipment,chargepoint-enelion-gdansk,,60 employees; $1.3m funding round; Focus on smart AC charging and energy management.,,POL,ENELION,54.35,18.65,Gdansk,ENELION Gdansk
,,chargepoint,EV Charging Equipment,chargepoint-voltdrive-prostejov,,Component manufacturing for EV charging; Integrated into the Central European automotive supply chain.,,CZE,VOLTDRIVE,49.47,17.11,Prostejov,VOLTDRIVE Prostejov
,,chargepoint,EV Charging Equipment,chargepoint-olife-prague,,Battery storage integration specialist; Powered by Olife proprietary technology; Focus on grid balancing solutions.,,CZE,OLIFE ENERGY,50.08,14.43,Prague,OLIFE ENERGY Prague
